"ID";"CNAE";"DESCRIPCION"
188;"2620";FABRIC. PROD. CERAMICOS NO REFRACT.EXCP.DESTINADOS CONSTRUC.
189;"2621";FABRIC. DE ARTICULOS CERAMICOS DE USO DOMESTICO Y ORNAMENTAL
190;"2622";FABRICACION DE APARATOS SANITARIOS CERAMICOS
191;"2623";FABRIC. AISLADORES Y PIEZAS AISLANTES DE MATERIAL CERAMICO
192;"2624";FABRICACION DE OTROS PRODUCTOS CERAMICOS DE USO TECNICO
193;"2625";FABRICACION DE OTROS PRODUCTOS CERAMICOS
194;"2626";FABRICACION DE PRODUCTOS CERAMICOS REFRACTARIOS
195;"2630";FABRICACION DE AZULEJOS Y BALDOSAS DE CERAMICA
196;"2640";"FABRIC. LADRILLOS; TEJAS Y PROD.TIERRAS COCIDAS PARA CONSTR."
197;"2650";"FABRICACION DE CEMENTO; CAL Y YESO"
198;"2651";FABRICACION DE CEMENTO
199;"2652";FABRICACION DE CAL
200;"2653";FABRICACION DE YESO
201;"2660";"FABRICACION DE ELEMENTOS DE HORMIGON; YESO Y CEMENTO"
202;"2661";FABRICACION DE ELEMENTOS DE HORMIGON PARA LA CONSTRUCCION
203;"2662";FABRICACION DE ELEMENTOS DE YESO PARA LA CONSTRUCCION
204;"2663";FABRICACION DE HORMIGON FRESCO
205;"2664";FABRICACION DE MORTERO
206;"2665";FABRICACION DE FIBROCEMENTO
207;"2666";"FABRICACION DE OTROS PRODUCTOS DE HORMIGON; YESO Y CEMENTO"
208;"2670";INDUSTRIA DE LA PIEDRA
209;"2680";FABRICACION DE PRODUCTOS MINERALES NO METALICOS DIVERSOS
210;"2681";FABRICACION DE PRODUCTOS ABRASIVOS
211;"2682";FABRICACION DE OTROS PRODUCTOS MINERALES NO METALICOS
212;"2710";"FABRIC. PRODUCTOS BASICOS DE HIERRO; ACERO Y FERROALEACIONES"
213;"2720";FABRICACION DE TUBOS
214;"2721";FABRICACION DE TUBOS DE HIERRO
215;"2722";FABRICACION DE TUBOS DE ACERO
216;"2730";OTRAS ACTIV. DE TRANSFORM. DEL HIERRO Y DEL ACERO Y FERROALEAC.
217;"2731";ESTIRADO EN FRIO
218;"2732";LAMINACION EN FRIO
219;"2733";PRODUCCION DE PERFILES EN FRIO POR CONFORMACION CON PLEGADO
220;"2734";TREFILADO EN FRIO
